1981-2010 Mean,Mean DBO 1,Sample SD DBO 1,Mean DBO 2,Sample SD DBO 2,Mean DBO 3,Sample SD DBO 3,Mean DBO 4,Sample SD DBO 4,Mean DBO 5,Sample SD DBO 5,Mean DBO6,Sample SD DBO 6,Mean DBO 7,Sample SD DBO 7,Mean DBO 8 ,Sample SD DBO 8 
1-Jun,5.418103,2.004772,7.132444,1.882969,52.89672,14.699215,89.76147,8.966562,88.9825,4.011051,98.5086,0.446453,95.20183,1.495236,68.01778,6.524581
2-Jun,5.10241,1.850805,7.105778,1.66084,50.93419,14.448783,88.62,9.799931,90.44417,3.779321,98.08895,0.410462,94.754,1.592699,65.40445,6.844601
3-Jun,4.098821,2.219547,6.384,1.735183,48.95242,14.375823,87.96893,10.348727,91.04625,3.631346,97.86246,0.731323,94.70733,1.8779,62.63611,6.999509
4-Jun,3.105487,1.84506,5.061111,1.993455,46.70273,13.522849,86.61013,10.367325,91.08792,3.477242,97.26123,0.880809,94.7735,2.023424,62.20722,6.663671
5-Jun,2.406,1.589532,4.665333,1.705839,44.41662,12.72504,86.8792,9.505169,91.14333,3.716575,97.03386,1.134241,94.27017,2.259196,60.66852,6.980215
6-Jun,2.299897,1.688417,3.998667,1.682989,42.0049,12.475138,86.93254,9.38114,88.89958,4.430359,96.17439,0.994746,92.35017,2.553601,58.17796,7.027504
7-Jun,1.761128,1.881202,3.686889,1.894847,39.88657,12.472194,85.66893,9.046108,87.97333,4.218478,95.1521,1.132518,91.27533,2.245463,56.03815,6.050961
8-Jun,1.582615,1.43102,3.445778,1.857337,37.94455,12.48434,84.83933,8.7977,87.12917,4.561718,94.54719,1.181857,90.6165,2.792331,54.98296,6.312595
9-Jun,1.091692,1.214463,3.380889,1.806765,35.47874,11.982554,84.43533,8.980271,87.95458,4.504241,94.74018,1.407338,90.585,3.269435,55.34185,6.602257
10-Jun,0.672308,0.859141,2.870667,1.516665,33.29662,11.560994,84.13827,9.216082,88.02042,4.341481,94.67965,1.858313,90.06267,3.003323,53.81444,6.732575
11-Jun,0.717436,0.931537,1.960444,0.976445,31.0504,11.792571,82.5928,9.532013,88.09875,3.804161,94.16947,2.032965,89.10167,3.348663,51.90537,7.04858
12-Jun,0.463744,0.704892,1.519111,0.925427,28.0353,10.990717,79.94347,9.946843,86.80875,3.4915,93.63351,2.183967,87.3805,3.41149,51.45278,7.964602
13-Jun,0.526615,0.794474,1.339556,1.045987,25.81005,10.081497,77.4588,10.146829,85.38417,3.627765,93.5407,2.503057,86.57584,3.065509,50.5,8.744447
14-Jun,0.380769,0.587667,1.344222,1.011225,23.64035,9.71449,77.33133,9.819073,84.30167,3.430748,92.97597,2.262975,85.9105,3.078842,49.30296,8.250833
15-Jun,0.511385,0.869735,1.308889,1.183198,22.03647,9.893083,76.2156,9.327825,83.84833,3.956816,92.64632,2.265352,85.4795,3.243558,49.74778,8.768407
16-Jun,0.238205,0.41724,0.942444,0.978464,19.93545,9.622544,75.59653,8.900096,83.18833,3.715363,92.01947,2.491824,84.40533,3.319731,50.9563,9.154236
17-Jun,0.203692,0.374903,0.611556,0.840308,18.61616,9.400451,75.3068,8.552303,83.3625,3.451913,91.62965,2.279397,83.23717,3.687925,50.32185,9.083343
18-Jun,0.246718,0.45647,0.078222,0.244501,16.93202,8.524617,75.36867,8.546187,83.57833,3.533076,92.72228,1.808303,83.5065,3.408304,49.18463,9.79464
19-Jun,0.138359,0.348984,0,0,15.47545,7.79479,74.8016,8.631197,83.315,3.999538,93.55947,1.896579,84.16183,3.617516,49.24389,9.62991
20-Jun,0.013026,0.105016,0,0,14.59439,7.392768,74.7644,8.203262,83.0275,3.943981,93.14158,2.066864,83.466,3.714491,49.59796,9.490365
21-Jun,0.019231,0.155043,0,0,13.61359,7.349478,75.02267,8.109242,83.6825,3.614775,93.31842,1.880584,82.73183,3.830537,49.39648,9.483908
22-Jun,0.025385,0.204657,0,0,12.66576,7.324274,75.3752,8.764254,84.65292,3.874159,93.4007,1.8824,82.11483,3.95941,49.32963,9.059265
23-Jun,0.005846,0.047133,0,0,11.75071,7.16058,74.77467,9.370431,84.32708,3.88211,93.02175,1.85316,80.51167,3.919114,47.69,8.876331
24-Jun,0,0,0,0,10.77611,6.767774,73.78813,9.658629,83.85792,4.282708,92.68,2.018899,79.8395,4.459855,45.84481,8.575374
25-Jun,0,0,0,0,9.294444,6.056835,73.2128,10.137737,84.31875,4.140332,92.4379,1.993222,80.07917,3.933373,46.37482,8.460774
26-Jun,0,0,0,0,8.112879,5.350658,73.35853,10.632719,84.68542,3.633208,91.59298,2.128508,79.34167,4.398479,45.95519,8.054357
27-Jun,0,0,0.033778,0.130821,7.514545,5.212884,73.2092,10.348809,85.50333,4.008838,92.04193,1.944221,78.77967,4.669092,45.06907,8.540993
28-Jun,0,0,0.067778,0.262502,6.858586,5.352455,73.99547,10.337008,85.75417,3.750551,91.44877,2.082565,78.23983,4.903219,43.59241,7.980826
29-Jun,0,0,0.033778,0.130821,6.174545,4.829644,73.2448,10.192957,84.50833,3.507169,89.93088,2.569725,77.09267,4.548596,43.05667,7.542514
30-Jun,0,0,0,0,5.449747,4.264207,71.8632,10.81283,83.17917,4.037385,89.38,2.624423,74.543,5.256451,42.27352,7.663201
1-Jul,0,0,0,0,4.252374,3.82504,71.2168,11.41532,82.91333,4.218229,87.97667,2.448324,72.90317,5.02193,40.94481,7.703731
2-Jul,0,0,0,0,3.483939,3.461225,70.6192,12.193716,82.56375,3.519566,86.89807,2.917129,70.34633,4.52644,40.16556,7.558863
3-Jul,0,0,0,0,2.973081,3.148989,69.1372,12.409867,81.125,3.44937,86.88772,3.149731,68.5125,4.045371,38.72019,7.562917
4-Jul,0,0,0,0,2.630556,3.038282,68.18573,12.99879,79.20583,3.5001,86.33737,3.267337,66.85983,4.360553,38.43944,7.437342
5-Jul,0,0,0,0,2.344141,2.821741,67.6152,13.944355,79.28208,3.799947,85.0914,3.442542,66.217,4.025536,35.73519,7.434762
6-Jul,0,0,0,0,1.950657,2.469279,67.46093,13.63661,79.18708,3.746437,85.18526,3.364261,65.5565,4.280467,34.55685,6.658871
7-Jul,0,0,0,0,1.587879,2.032734,66.27333,14.300218,79.09458,3.507907,84.28632,2.763964,64.42167,4.112068,34.39926,6.208077
8-Jul,0,0,0,0,1.350151,1.817327,65.02413,14.932523,77.6625,3.33558,82.81456,3.242252,64.31617,4.139809,33.54519,6.329793
9-Jul,0,0,0,0,1.175556,1.573129,63.5908,14.740016,77.28542,4.019285,81.49912,3.632437,63.32367,4.69257,33.19889,5.492657
10-Jul,0,0,0,0,1.038586,1.545693,62.77387,15.333073,76.81792,4.448015,80.64649,3.743024,63.72,4.676993,32.03815,5.375782
11-Jul,0,0,0,0,0.907071,1.449119,61.01373,15.582973,73.39458,4.082895,79.73439,3.733898,62.79867,4.582801,28.80148,5.673158
12-Jul,0,0,0,0,0.716111,1.236676,59.60187,14.919199,71.09583,4.323314,78.59965,3.578456,61.24433,4.779118,26.92833,6.226557
13-Jul,0,0,0,0,0.622273,1.182174,58.07387,15.080989,68.59708,5.111273,77.41298,3.865933,59.8325,4.929476,25.68574,5.666625
14-Jul,0,0,0,0,0.568838,1.266115,57.43933,15.371435,66.83083,5.460977,75.32316,4.150926,59.10933,5.007193,24.77556,5.680155
15-Jul,0,0,0,0,0.558939,1.319742,56.8992,15.989445,65.83542,4.941636,73.56018,4.624098,56.87,4.889847,23.49148,5.593597
16-Jul,0,0,0,0,0.620051,1.464124,56.15213,16.008728,65.16792,4.031605,71.91667,4.692716,54.81317,5.034469,22.32926,4.87483
17-Jul,0,0,0,0,0.577828,1.370316,53.2816,15.781692,63.29125,4.525244,69.14614,4.942015,52.543,5.727829,20.08389,4.178064
18-Jul,0,0,0.03,0.116189,0.44601,1.029796,51.05,14.748541,59.97708,4.689212,67.59263,5.655475,50.32933,5.594595,18.07259,3.80436
19-Jul,0,0,0.06,0.232379,0.294899,0.797041,49.424,14.468451,59.51417,3.673232,65.55702,6.062892,49.64067,5.371378,15.69759,2.919186
20-Jul,0,0,0.03,0.116189,0.174697,0.56956,47.52787,14.378577,58.69833,3.304753,63.43158,6.71451,48.82667,5.454978,14.67833,2.872863
21-Jul,0,0,0,0,0.14197,0.415723,45.3196,14.27622,57.27,3.461516,63.30544,6.338429,49.19433,5.585972,14.47222,3.632468
22-Jul,0,0,0,0,0.207525,0.51857,43.6936,13.802329,57.07125,2.630484,61.83772,6.968123,49.83133,5.429346,15.15111,3.646012
23-Jul,0,0,0,0,0.319899,0.889734,42.43627,13.371889,55.68417,2.669399,59.1807,7.358593,49.23383,5.557308,13.95685,3.053576
24-Jul,0,0,0,0,0.376313,1.135332,40.54387,12.865363,54.5925,2.271063,56.28439,7.61819,48.08967,5.487742,13.70704,3.240882
25-Jul,0,0,0,0,0.323939,0.979469,38.02613,12.208884,52.4575,2.422927,53.79211,6.934954,46.46483,4.659443,13.6613,2.644404
26-Jul,0,0,0,0,0.222929,0.722965,35.0268,12.218669,50.57875,2.847377,51.70211,7.902069,44.781,4.933212,14.46537,3.62014
27-Jul,0,0,0,0,0.157273,0.506573,33.0972,12.414979,50.47375,2.908683,51.50526,7.124189,43.51267,4.729166,14.15315,3.61169
28-Jul,0,0,0,0,0.182374,0.642413,33.4092,13.095403,50.685,2.654124,52.26333,7.694829,42.37433,4.896386,13.26444,3.661713
29-Jul,0,0,0,0,0.227071,0.814851,30.77747,12.537099,49.18542,2.682317,51.87018,7.975921,41.31717,4.247462,13.74759,3.962529
30-Jul,0,0,0,0,0.168939,0.649435,27.5552,11.862899,45.9725,2.434681,49.58754,7.479082,40.37667,3.799402,13.12426,4.015987
31-Jul,0,0,0,0,0.075152,0.330924,25.73493,11.825108,43.79417,2.6463,48.33158,8.270728,40.01433,3.94433,12.6737,3.890378
1-Aug,0,0,0,0,0.043131,0.218325,24.27733,12.323471,40.08292,2.899502,47.34228,8.733002,37.21583,4.044342,12.94778,3.664619
2-Aug,0,0,0,0,0.021566,0.109275,23.21693,12.401287,38.52,2.140833,46.29439,7.641802,35.71733,4.466043,11.95722,3.694344
3-Aug,0,0,0,0,0,0,20.692,11.989629,37.21792,2.112435,45.52053,7.531094,36.145,3.99791,11.31537,4.073162
4-Aug,0,0,0,0,0,0,20.26987,11.616654,36.01625,2.298447,44.72456,6.445622,35.58433,3.602071,12.82093,4.254144
5-Aug,0,0,0,0,0,0,19.31733,10.268816,32.10375,2.203404,44.03439,6.667119,35.43167,3.649419,13.09722,4.286641
6-Aug,0,0,0,0,0,0,19.03267,9.270127,31.60417,1.67551,42.20421,6.883121,32.68583,3.144305,12.44037,3.725412
7-Aug,0,0,0,0,0,0,18.3368,10.069896,31.04208,1.492832,41.01509,7.50454,30.53483,2.350519,12.30167,2.760121
8-Aug,0,0,0,0,0,0,17.5112,9.701784,28.99583,1.641634,39.5486,6.307379,30.27917,2.466615,12.29982,2.918432
9-Aug,0,0,0,0,0,0,17.24013,9.726294,25.89208,1.901425,37.15474,7.488549,29.79333,2.390956,12.52556,3.191722
10-Aug,0,0,0,0,0,0,16.94493,9.582108,26.34625,1.9356,35.27386,8.27294,29.23933,2.448162,11.52685,3.345682
11-Aug,0,0,0,0,0.022121,0.140247,16.5112,9.986867,25.95083,1.773572,34.68281,7.634001,27.70967,2.001241,11.28759,3.271873
12-Aug,0,0,0,0,0.053788,0.293297,16.48307,9.731288,24.0425,1.717909,32.24649,8.06321,27.27567,1.766866,11.33667,2.932727
13-Aug,0,0,0,0,0.041263,0.192328,16.41933,9.323313,23.02542,1.599124,30.69632,7.946938,26.44367,2.002017,11.76833,3.475853
14-Aug,0,0,0,0,0.009596,0.057267,15.3676,8.772779,22.06167,1.591395,28.8093,8.391203,26.01833,2.570397,12.94926,3.329798
15-Aug,0,0,0,0,0,0,13.92853,8.092681,20.12667,1.82639,26.05263,8.398789,25.19383,2.09525,13.5337,3.36331
16-Aug,0,0,0,0,0,0,14.02573,8.24423,18.43708,1.459021,23.94983,7.472162,24.5185,2.236307,13.41111,3.429248
17-Aug,0,0,0,0,0,0,14.34973,7.863334,17.87625,1.545541,21.79579,7.977398,23.807,2.648078,13.28759,3.728831
18-Aug,0,0,0,0,0,0,14.5732,7.723269,19.24333,1.651357,21.9686,7.885221,25.823,2.797825,14.8163,4.281968
19-Aug,0,0,0,0,0,0,14.17267,7.515085,19.96792,1.49317,21.45772,6.854847,24.782,2.438546,15.66667,3.410946
20-Aug,0,0,0,0,0.00399,0.032414,14.3048,7.390042,19.63208,1.312543,20.65439,6.433314,23.848,2.668497,15.43148,3.347607
21-Aug,0,0,0,0,0.01596,0.129656,14.38133,6.836725,18.14708,1.893205,20.30088,6.913609,23.08317,2.436479,15.01685,3.292092
22-Aug,0,0,0,0,0.033434,0.205838,14.35787,7.712713,17.30917,1.999396,19.17105,6.299634,22.93667,3.06972,14.86722,2.996969
23-Aug,0,0,0,0,0.03697,0.234776,14.23307,7.13889,16.38042,1.586707,18.96772,6.205073,22.32433,2.92653,15.60537,3.219074
24-Aug,0,0,0,0,0.036566,0.215408,14.09547,7.251508,15.06542,1.261507,19.07737,6.562492,21.698,2.710701,14.98111,3.000929
25-Aug,0,0,0,0,0.040051,0.228947,13.4596,6.628218,13.98625,1.20858,19.42737,6.467798,21.4835,2.928483,15.76648,2.722577
26-Aug,0,0,0,0,0.039293,0.224533,13.4252,6.872837,14.36875,1.48878,19.16421,6.141563,20.8355,3.075196,15.90278,2.785449
27-Aug,0,0,0,0,0.044596,0.254791,12.86653,6.791014,14.80292,0.876855,18.98825,5.807645,19.46467,3.528538,14.13741,2.825982
28-Aug,0,0,0,0,0.042778,0.244879,13.49187,7.000441,14.79167,0.869727,18.87877,5.839745,19.42717,3.06929,13.05463,2.617719
29-Aug,0,0,0,0,0.106616,0.395147,12.61587,6.429314,13.90083,0.913431,18.35509,5.39885,18.675,2.834225,13.98315,2.66776
30-Aug,0,0,0,0,0.078535,0.293468,11.9024,5.934833,13.05667,1.209476,16.82632,5.214131,17.96033,2.499462,13.16037,2.751747
31-Aug,0,0,0,0,0.087525,0.33372,12.0068,5.897823,12.40125,1.408529,15.97053,5.433526,17.6955,2.460897,12.74167,2.898307
1-Sep,0,0,0,0,0.263687,0.732433,12.482,5.836166,12.70583,1.935022,15.55439,5.35958,17.16233,1.937209,11.74611,1.798314
2-Sep,0,0,0,0,0.254091,0.703356,13.00147,5.795356,12.08833,1.759675,14.66474,5.24815,16.38317,2.089908,11.56259,2.06405
3-Sep,0,0,0,0,0.261212,0.720752,13.06693,6.172006,11.70917,1.475961,14.39,4.975911,15.743,1.881881,12.04444,2.467491
4-Sep,0,0,0,0,0.306869,0.787495,12.53213,6.32269,11.03125,1.410451,14.65754,5.479226,14.99883,1.781978,11.47907,2.376318
5-Sep,0,0,0,0,0.45303,0.926065,12.34493,6.669941,9.67125,1.09732,13.52386,5.310577,13.85733,2.094454,10.79519,2.38584
6-Sep,0,0,0,0,0.46096,0.880622,11.4964,6.536221,8.684583,0.958628,13.23825,5.128225,13.119,1.920746,10.26111,2.453809
7-Sep,0,0,0,0,0.428283,0.887085,10.70613,5.927628,8.799583,1.398606,13.12632,4.423862,13.468,1.836663,9.617963,2.41848
8-Sep,0,0,0,0,0.397879,0.85058,11.20613,5.923481,8.880833,1.364352,13.00158,3.880558,13.07583,1.763319,9.842222,2.425371
9-Sep,0,0,0,0,0.372929,0.897871,11.68733,6.082782,8.126666,1.381412,13.37632,3.982849,12.9335,1.883522,10.195,2.248504
10-Sep,0,0,0,0,0.32899,0.997178,11.32773,5.166558,7.802083,0.762425,12.39176,3.681671,11.76783,1.922835,9.887963,2.141532
11-Sep,0,0,0,0,0.237172,0.777712,10.3124,4.824762,7.76875,1.174235,11.58333,3.906544,10.85617,2.032327,9.858519,2.058044
12-Sep,0,0,0,0,0.177626,0.724449,9.888267,4.993207,7.979167,1.194567,11.26053,3.651277,10.31667,1.588678,9.961111,2.225372
13-Sep,0,0,0,0,0.162929,0.64557,9.368533,4.684475,8.2625,1.453463,12.06825,3.674648,11.77017,1.631709,10.64741,2.207511
14-Sep,0,0,0,0,0.247879,0.930097,10.33347,4.736265,8.142083,1.335687,12.81123,3.417997,13.63083,2.096499,10.98667,2.53265
15-Sep,0,0,0,0,0.373889,1.215068,10.91227,4.472231,8.402916,0.948662,12.39772,3.434187,12.37017,1.936588,11.27796,2.659919
16-Sep,0,0,0,0,0.369394,1.031191,11.718,4.497662,8.821667,0.742612,11.62158,3.692199,11.2925,2.233948,11.35685,3.492768
17-Sep,0,0,0,0,0.430606,1.004722,12.5136,4.835752,11.2875,0.889133,13.83105,3.853515,13.51633,2.64661,11.38444,3.560654
18-Sep,0,0,0,0,0.389343,0.907145,13.33893,4.946086,11.79375,0.813439,14.25912,4.089693,14.31167,2.387601,11.57037,3.488328
19-Sep,0,0,0,0,0.294192,0.843193,14.46013,5.271067,11.32458,0.868787,14.2214,4.444986,15.704,2.126884,11.755,3.693101
20-Sep,0,0,0,0,0.259848,0.825751,14.45347,5.421137,11.92833,0.922228,14.14298,4.722611,15.64783,2.481487,11.5063,3.620203
21-Sep,0,0,0,0,0.152929,0.523749,13.02933,5.162696,12.83958,1.055628,14.27386,4.608357,15.86417,2.325437,10.70537,3.296134
22-Sep,0,0,0,0,0.149192,0.593028,12.95267,5.595326,13.71458,1.391251,14.37386,4.880406,15.6595,2.1254,11.12037,3.48573
23-Sep,0,0,0,0,0.151667,0.567175,12.88373,5.296144,15.035,1.527005,14.95719,4.436761,15.38633,1.987358,11.47815,3.095016
24-Sep,0,0,0,0,0.048182,0.236541,13.33013,5.001536,15.54042,1.705031,15.48579,4.438924,15.70283,2.035318,11.22185,3.282794
25-Sep,0,0,0,0,0.096616,0.399342,13.30973,4.689213,16.44167,1.8797,16.93053,4.649412,16.09233,2.178112,10.43963,3.245478
26-Sep,0,0,0,0,0.157071,0.602926,13.332,4.283661,17.7025,2.295093,18.03035,4.758047,16.95417,2.430521,10.0787,3.49368
27-Sep,0,0,0,0,0.189545,0.703368,14.53813,4.769179,18.595,1.815524,19.05,5.231478,17.838,1.648609,10.81519,3.651829
28-Sep,0,0,0,0,0.245202,0.899559,17.0268,6.049112,19.17458,1.544768,20.83421,5.66833,18.14283,1.760534,12.54907,4.743345
29-Sep,0,0,0,0,0.183232,0.752067,16.72,5.792539,18.89333,1.793869,22.30246,5.934436,18.56083,2.096887,13.01315,5.13042
30-Sep,0,0,0,0,0.163182,0.565303,16.00947,5.30419,18.76417,2.424504,23.3214,6.346345,18.91983,2.49942,13.76241,5.159777
1-Oct,0,0,0,0,0.289495,0.926511,16.986,5.266488,20.10333,3.271356,24.55895,5.996911,19.99817,2.444689,14.08685,5.211257
2-Oct,0,0,0,0,0.413889,1.158296,18.1676,5.368566,21.17208,3.248992,27.04702,5.252891,22.26567,2.468216,14.41741,4.765068
3-Oct,0,0,0,0,0.52404,1.210093,18.12827,5.218746,21.39542,3.943813,29.10632,4.223031,23.09717,3.279874,16.30074,5.352487
4-Oct,0,0,0,0,0.621465,1.294921,18.45773,5.835627,21.4825,4.092655,29.52263,3.414207,23,2.771214,16.34389,5.473727
5-Oct,0,0,0,0,0.729242,1.219718,18.34893,5.719334,22.92708,4.093841,28.94544,4.10849,24.34233,2.849275,16.05593,5.606786
6-Oct,0,0,0,0,0.935455,1.497908,19.69187,6.415813,24.99917,3.131524,30.79105,4.092594,27.63017,3.289715,16.84148,5.84306
7-Oct,0,0,0,0,0.976111,1.431471,21.29333,6.507539,26.69458,3.65348,33.1407,4.409155,31.33267,4.060719,18.27407,6.37195
8-Oct,0,0,0,0,0.807273,1.295766,23.72533,5.726596,28.70083,4.020007,35.28316,3.244938,35.08367,3.518031,19.2163,6.822677
9-Oct,0,0,0,0,0.90303,1.403415,25.956,5.282614,28.855,4.186067,35.72895,2.672459,37.5595,2.993516,19.87185,6.140613
10-Oct,0,0,0,0,1.089192,1.778707,27.034,5.586078,29.96167,4.225592,35.24807,2.324226,39.16283,3.027451,22.06093,6.428399
11-Oct,0,0,0,0,1.037677,1.566715,26.75933,6.139322,30.98833,4.394862,37.21807,1.939132,40.60183,3.069069,22.50593,6.376089
12-Oct,0,0,0,0,0.908889,1.29295,25.83493,7.189739,31.7175,4.364257,38.61158,2.287036,42.55167,2.829287,25.79426,6.963753
13-Oct,0,0,0,0,1.025051,1.522234,25.4432,7.625269,32.51208,4.716092,39.31983,3.098245,45.58683,3.608261,28.84093,7.8571
14-Oct,0,0,0,0,0.921414,1.517399,26.5248,7.474441,34.14292,5.443458,42.14228,3.568363,48.59533,3.626265,28.36667,6.737485
15-Oct,0,0,0,0,1.132172,1.642242,26.6016,7.374709,34.70875,5.903356,44.74825,3.8422,54.497,4.025669,30.26333,7.407749
16-Oct,0,0,0,0,1.179495,1.559688,27.20373,7.083605,34.90667,6.477579,44.93614,4.043629,54.19267,3.815446,31.79907,7.824501
17-Oct,0,0,0,0,1.379444,1.836262,28.37547,6.624599,35.89042,5.91836,45.42404,3.739722,56.61667,2.670983,34.75333,8.364347
18-Oct,0,0,0,0,1.787828,1.911883,29.96533,6.247876,37.40333,6.06824,47.59877,5.037287,58.75567,3.162362,38.5413,9.539345
19-Oct,0,0,0.079778,0.137416,2.016414,1.88079,31.02373,5.937154,38.39375,5.610683,50.23123,4.90393,61.2285,3.608303,42.23407,10.486013
20-Oct,0,0,0.159778,0.275253,2.377172,2.335695,34.9712,6.339805,40.84375,6.304577,54.05912,5.170823,63.86683,3.214821,41.55037,9.907335
21-Oct,0,0,0.138444,0.248561,2.670252,2.494692,37.11133,7.149169,43.2475,6.301179,57.08825,4.864464,68.16367,3.38736,44.54982,9.961219
22-Oct,0,0,0.117111,0.244611,2.987677,2.390164,37.97933,7.025985,42.79292,6.701182,58.30667,4.772824,69.921,3.054532,48.51333,8.767683
23-Oct,0,0,0.088222,0.156159,3.499192,2.312162,39.40427,7.226097,44.74958,7.117641,59.44421,4.608935,69.4475,3.031882,50.95648,8.496856
24-Oct,0,0,0,0,3.866717,2.227378,39.75867,6.952933,47.93792,6.381921,60.87263,4.631279,70.67917,2.871367,53.92167,8.640357
25-Oct,0,0,0,0,2.96601,2.015676,41.756,7.258176,49.68458,5.939414,64.93158,4.643757,73.38517,2.37006,54.80537,8.318641
26-Oct,0,0,0,0,2.381313,2.336043,42.7488,7.691003,51.955,6.182142,69.75158,5.144105,77.374,1.584375,56.78222,9.161583
27-Oct,0,0,0.042,0.162665,3.168434,3.027032,44.08507,7.437148,53.68542,6.034601,72.75754,4.713297,80.0555,2.367814,60.18185,8.351511
28-Oct,0,0,0.031333,0.121353,4.022626,3.80475,45.38733,8.026514,55.39875,6.197529,74.81947,4.876788,80.3505,2.059479,63.26037,8.342229
29-Oct,0,0,0.033111,0.128239,4.332677,4.486846,45.18587,7.77216,54.65958,6.937567,77.62526,4.331644,81.08367,2.428954,66.45185,8.457735
30-Oct,0,0,0,0,4.815202,5.141378,44.54227,6.703464,54.72,6.767918,78.39719,4.363118,82.40433,2.76358,69.42148,6.985066
31-Oct,0.006769,0.054575,0,0,6.300707,5.602229,44.65387,6.698577,57.73042,6.221462,80.08912,3.851662,84.23667,2.29435,73.03167,6.288352
1-Nov,0.013538,0.109151,0.019556,0.075738,7.755606,5.410182,46.75747,7.079366,59.66917,6.388421,82.13491,3.404899,86.52433,2.224127,76.3263,5.455725
2-Nov,0.013744,0.110804,0.189556,0.364053,8.331616,5.261509,48.144,7.269451,61.17667,6.297813,83.98263,3.449437,88.77133,2.202283,81.1587,5.108364
3-Nov,0.013897,0.112045,0.396222,0.786834,8.913535,4.81636,48.68573,6.419747,62.24625,6.114264,86.27772,2.925592,90.7175,2.09105,84.67426,4.390584
4-Nov,0.01041,0.08393,0.575333,1.271247,10.2746,4.872678,50.9812,6.984527,63.59542,6.148322,86.52526,2.852399,90.54467,2.211801,86.29185,3.622061
5-Nov,0.013897,0.112045,0.618444,1.491759,12.14748,5.466932,52.3988,7.402751,65.51833,6.419811,86.62105,2.90981,90.10717,1.775662,85.79685,2.650234
6-Nov,0.017487,0.140986,0.478222,0.937525,13.76429,6.417595,55.05267,7.988374,69.5125,6.259287,87.17702,2.528971,90.59667,1.74754,87.14963,2.170592
7-Nov,0.011128,0.089718,0.713778,0.953066,16.72268,7.518054,58.064,8.160926,73.88,5.776676,89.59807,2.076312,91.59617,1.342645,89.11593,1.971565
8-Nov,0.024769,0.129601,0.956667,1.051354,18.32808,7.847862,60.04587,8.278156,77.50083,5.476618,91.05667,1.816783,92.83517,1.349802,90.55204,1.915158
9-Nov,0.064821,0.373077,1.289333,1.542687,18.19566,8.229707,61.7008,7.855172,77.50333,5.447067,91.61965,1.671415,92.93367,1.61576,91.985,1.502643
10-Nov,0.093846,0.424056,1.913556,1.981316,17.32061,8.162985,62.18627,7.652752,76.27792,5.533887,92.33684,1.449828,93.14967,1.239119,91.62537,0.817954
11-Nov,0.105231,0.392628,2.178667,2.298004,17.73288,8.329713,61.63213,6.721589,76.33917,5.481665,92.54403,1.466435,93.30983,1.432264,91.845,0.982882
12-Nov,0.128513,0.433093,3.194667,2.734346,19.94591,8.103611,64.05627,6.354567,76.66458,5.209699,92.33,1.590848,94.486,1.252193,92.46056,0.962496
13-Nov,0.165282,0.551915,4.182667,2.424102,23.1903,7.787417,66.0796,6.218339,80.11208,4.749109,93.81877,1.418684,94.86333,1.250703,93.60056,0.769751
14-Nov,0.158205,0.563239,4.802444,2.463516,26.40217,7.132265,68.242,6.846599,82.77417,4.600351,94.66702,1.382279,95.4805,0.941586,93.85444,0.881261
15-Nov,0.14559,0.559339,5.545556,2.836978,29.94874,6.840146,70.16027,6.79184,83.25292,4.689712,95.44474,1.015963,95.64717,0.868681,95.29519,0.887381
16-Nov,0.170718,0.748148,7.001778,2.78461,33.50818,7.11363,73.5304,6.745355,85.60042,4.570803,95.68842,0.930123,95.79417,0.800801,96.71463,0.773006
17-Nov,0.132769,0.714194,7.391111,2.973649,33.45778,7.940716,74.78293,7.002632,85.70667,4.952132,96.42123,0.9666,95.95117,0.741489,97.11907,0.570693
18-Nov,0.310872,0.967754,8.978667,2.640025,34.21136,8.862472,76.66867,6.775085,87.01375,3.853249,97.14421,0.702036,95.74767,0.780787,96.97204,0.489184
19-Nov,0.431333,1.203796,10.58911,2.523513,36.09404,9.492306,79.56947,6.789175,88.94833,3.078779,97.51018,0.792571,96.186,0.83187,97.84426,0.594106
20-Nov,0.621846,1.063119,11.13133,2.4805,37.97793,8.880147,80.83547,6.742826,88.91542,3.640453,97.23228,0.800629,96.0215,0.973068,97.7787,0.700425
21-Nov,0.877026,1.182834,11.58467,2.482636,39.09227,9.17364,81.6056,7.045004,90.05625,3.09827,97.74123,0.713688,96.05917,1.058366,97.78722,1.011063
22-Nov,1.297026,1.552373,15.14733,2.711135,40.26338,8.115241,81.9504,6.661479,90.61667,2.977362,97.73737,0.769111,96.71233,0.792971,98.56759,0.640843
23-Nov,1.889282,2.292564,18.00156,2.7943,41.87066,8.165045,81.86747,6.870053,90.95958,4.014489,98.09053,0.587968,97.02917,0.863961,98.80018,0.515951
24-Nov,2.393692,2.65749,20.51244,3.537484,46.26419,8.165129,82.1504,7.304969,90.9175,4.029483,97.58561,0.411032,96.1335,0.972747,98.6613,0.695958
25-Nov,3.188051,3.512099,24.48267,3.725447,51.65404,8.040043,84.24053,6.373113,92.10333,3.308642,97.63526,0.571293,95.6085,1.26623,98.09185,1.044587
26-Nov,4.396564,4.707272,29.78089,3.819356,56.70268,8.008738,85.6432,5.555029,93.63292,2.773837,97.57561,0.481888,95.908,1.166757,98.32185,0.826152
27-Nov,5.604667,5.388482,35.51889,4.097576,60.43,7.71018,87.48787,4.990039,95.15916,2.213232,97.70333,0.579863,95.831,0.895499,98.2887,0.727966
