1981-2010 Mean,Mean DBO 1,Sample SD DBO 1,Mean DBO 2,Sample SD DBO 2,Mean DBO 3,Sample SD DBO 3,Mean DBO 4,Sample SD DBO 4,Mean DBO 5,Sample SD DBO 5,Mean DBO6,Sample SD DBO 6,Mean DBO 7,Sample SD DBO 7,Mean DBO 8 ,Sample SD DBO 8 
5-Feb,91.49318,2.039038,96.872,0.757302,99.04556,0.318563,99.1176,0.506707,97.84583,0.699768,99.35333,0.252843,99.3,0.218356,99.06852,0.335371
6-Feb,90.36513,2.686039,96.50333,0.938376,99.16409,0.402886,98.6368,0.621686,97.23667,0.843931,99.2821,0.371352,99.03017,0.288964,98.74278,0.511292
7-Feb,89.85046,2.760984,96.39578,0.802489,99.14884,0.3852,98.58173,0.877466,96.48458,1.502441,99.14474,0.312385,99.007,0.34068,99.1513,0.366295
8-Feb,90.27656,2.343703,97.49089,0.699097,99.08217,0.385809,99.10627,0.314218,97.5225,1.016043,99.23544,0.371771,99.256,0.35865,99.29,0.376166
9-Feb,90.51149,2.366038,98.38933,0.384533,99.21106,0.443837,99.21667,0.24716,98.08834,0.614238,99.29983,0.333415,99.30483,0.332899,99.2963,0.359086
10-Feb,91.0259,2.262453,98.48956,0.345758,99.12879,0.331292,99.2928,0.368172,97.9975,0.868003,99.19,0.358611,99.3045,0.342529,99.19296,0.365008
11-Feb,91.54646,2.269987,98.81533,0.357007,99.10525,0.390172,99.16733,0.469001,98.0325,0.855878,99.04684,0.292784,99.19633,0.277434,99.20889,0.561307
12-Feb,91.17826,2.712796,98.36511,0.697447,98.95712,0.430737,98.96893,0.647584,97.81333,0.940253,99.08737,0.324748,99.12683,0.289024,99.15704,0.562944
13-Feb,90.41872,3.339252,97.72045,0.745111,98.9699,0.373916,98.83213,1.02597,97.92458,0.995864,99.23667,0.409769,99.09067,0.340501,99.04019,0.434165
14-Feb,90.63144,2.904105,97.07311,0.616878,98.8802,0.49404,98.81613,0.888232,97.38375,1.124248,99.23035,0.361462,99.076,0.542131,99.04148,0.413918
15-Feb,91.19487,2.833514,96.85333,0.787665,98.75278,0.576058,98.8396,0.822169,97.74167,0.744004,99.22088,0.283477,98.968,0.383107,99.10463,0.485659
16-Feb,91.36697,2.177962,96.76311,0.917979,98.59914,0.506288,98.50453,1.097775,97.57625,0.918776,99.14965,0.348543,99.02367,0.291024,99.11963,0.397038
17-Feb,91.51195,2.058264,96.69933,0.960423,98.81253,0.470038,98.3956,0.97497,97.87,0.724663,98.79333,0.406664,99.19733,0.396171,99.17833,0.47805
18-Feb,91.45687,2.293856,96.53,1.180444,98.77445,0.496027,98.7072,0.800235,98.3925,0.504032,99.08228,0.225975,99.258,0.392697,99.36315,0.410667
19-Feb,92.73138,1.78756,96.72111,1.015666,98.66944,0.500203,99.02173,0.545372,98.49625,0.435599,99.26579,0.296283,99.31883,0.423204,99.36426,0.361601
20-Feb,93.41769,1.523323,97.79067,0.718629,98.94965,0.308354,99.28773,0.422257,98.525,0.442898,99.33386,0.289965,99.052,0.312991,99.28222,0.467906
21-Feb,93.85708,1.191877,98.17733,0.514532,98.89227,0.375882,99.33,0.52419,98.60083,0.294477,99.44684,0.350389,99.1525,0.466224,99.32056,0.428239
22-Feb,94.09569,1.21761,97.40778,0.654078,98.88894,0.363495,99.11347,0.546795,98.26625,0.445288,99.44526,0.194807,99.303,0.262135,99.20278,0.514884
23-Feb,94.08256,1.496562,97.07244,0.726044,98.74919,0.321826,99.07853,0.388126,98.96792,0.524091,99.57228,0.224643,99.50767,0.242411,99.37815,0.492271
24-Feb,93.89877,1.83193,97.248,0.745801,98.92838,0.308653,99.3524,0.265958,98.97292,0.334358,99.55281,0.214738,99.46817,0.274208,99.27296,0.364507
25-Feb,93.80313,1.946855,97.714,0.613559,98.71889,0.334935,99.30133,0.216668,98.82667,0.38647,99.44667,0.193251,99.48,0.220838,99.33482,0.37388
26-Feb,94.36641,2.366621,98.02822,0.603967,98.64409,0.254447,99.14747,0.307138,98.5475,0.475011,99.12421,0.265674,99.2625,0.275559,99.20593,0.403023
27-Feb,94.46174,2.129911,97.95689,0.68316,98.71187,0.340716,99.2072,0.281191,98.60542,0.481882,99.19105,0.324656,99.2365,0.254094,99.05093,0.266857
28-Feb,94.29056,2.048536,98.18622,0.530669,98.63551,0.470337,99.29413,0.211492,98.62208,0.581449,99.27877,0.263649,99.434,0.280919,98.96407,0.488852
29-Feb,96.45231,2.512794,97.61524,1.092773,99.13182,0.688938,99.15429,0.514483,98.71786,0.561482,99.50902,0.277182,99.755,0.392745,99.33175,0.51802
1-Mar,93.79405,1.431675,98.01822,0.592395,98.45899,0.499742,99.27,0.241536,98.54333,0.535911,99.39439,0.277317,99.35767,0.408976,98.83926,0.594481
2-Mar,94.66549,1.649064,98.15711,0.613313,98.53934,0.394648,99.28027,0.344086,98.565,0.400937,99.42281,0.206217,99.4845,0.24982,98.86574,0.515948
3-Mar,95.79939,1.92774,98.36,0.422484,98.84192,0.404091,99.2372,0.456444,97.97375,0.826034,99.3714,0.265025,99.36417,0.317026,99.00889,0.525988
4-Mar,95.05159,1.901943,98.492,0.372985,99.11621,0.362606,99.37453,0.309228,98.55625,0.571801,99.21403,0.289411,99.36233,0.43695,99.13463,0.559238
5-Mar,94.422,1.695619,98.59845,0.420723,99.13389,0.313722,99.26333,0.296219,98.86625,0.468103,99.35509,0.343517,99.39017,0.278932,99.01611,0.571444
6-Mar,94.48595,1.751953,98.60867,0.454244,98.90571,0.302696,99.33,0.271105,98.87083,0.317085,99.43772,0.230819,99.59983,0.25217,99.26648,0.549344
7-Mar,94.26585,1.938191,98.55911,0.482898,98.73939,0.398341,99.31907,0.225682,98.79083,0.336319,99.61456,0.213861,99.55234,0.309774,99.15148,0.43544
8-Mar,93.69118,1.824223,98.48956,0.384137,98.75465,0.408969,99.2216,0.242401,98.7825,0.191649,99.5,0.289085,99.46817,0.273222,99.2763,0.373491
9-Mar,93.31174,1.712731,98.17467,0.678809,98.75343,0.437077,99.21,0.416501,98.24834,0.482809,99.20298,0.358023,99.12067,0.364874,99.095,0.355285
10-Mar,93.34,1.439752,98.09644,0.824749,98.86889,0.360056,99.22027,0.490866,97.28875,0.736848,99.2386,0.426259,99.12433,0.369181,99.17259,0.368858
11-Mar,93.39882,1.441484,98.13978,0.560823,98.74732,0.458578,99.11707,0.620314,97.5275,0.980254,99.00456,0.42673,99.17283,0.453944,99.24296,0.379068
